,file_id,total_no,zero_no,na_no, zero% , na% 
0,"Processed-D_1Ph_A01_mf_(2015-02-15,42days).csv",12097,2664,0, 22.02 , -   
1,"Processed-D_1Ph_A02_mf_(2015-02-15,42days).csv",12097,2454,2421, 20.29 , 20.01 
2,"Processed-D_1Ph_A03_mf_(2015-02-15,42days).csv",12097,36,0, 0.30 , -   
3,"Processed-D_1Ph_A04_mf_(2015-02-15,42days).csv",12097,1876,0, 15.51 , -   
4,"Processed-D_1Ph_A07_mf_(2015-02-15,42days).csv",12097,1349,58, 11.15 , 0.48 
5,"Processed-D_1Ph_A11_mf_(2015-02-15,42days).csv",12097,0,2686, -   , 22.20 
6,"Processed-D_1Ph_A13_mf_(2015-02-15,42days).csv",12097,1140,8084, 9.42 , 66.83 
7,"Processed-D_1Ph_A14_mf_(2015-02-15,42days).csv",12097,201,8127, 1.66 , 67.18 
8,"Processed-D_1Ph_A18_app_(2015-02-15,42days).csv",12097,0,45, -   , 0.37 
9,"Processed-D_1Ph_B02_mf_(2015-02-15,42days).csv",12097,0,4, -   , 0.03 
10,"Processed-D_1Ph_B08_mf_(2015-02-15,42days).csv",12097,133,6, 1.10 , 0.05 
11,"Processed-D_1Ph_C02_mf_(2015-02-15,42days).csv",12097,0,196, -   , 1.62 
12,"Processed-D_1Ph_C05_mf_(2015-02-15,42days).csv",12097,0,1469, -   , 12.14 
13,"Processed-D_1Ph_C06_mf_(2015-02-15,42days).csv",12097,683,1871, 5.65 , 15.47 
14,"Processed-D_1Ph_C14_mf_(2015-02-15,42days).csv",12097,0,689, -   , 5.70 
15,"Processed-D_1Ph_C16_mf_(2015-02-15,42days).csv",12097,0,3759, -   , 31.07 
16,"Processed-D_1Ph_C19_mf_(2015-02-15,42days).csv",12097,0,358, -   , 2.96 
17,"Processed-D_1Ph_C24_mf_(2015-02-15,42days).csv",12097,405,231, 3.35 , 1.91 
18,"Processed-D_1Ph_C26_mf_(2015-02-15,42days).csv",12097,0,1198, -   , 9.90 
19,"Processed-D_1Ph_C32_mf_(2015-02-15,42days).csv",12097,340,169, 2.81 , 1.40 
20,"Processed-D_1Ph_C33_mf_(2015-02-15,42days).csv",12097,6757,0, 55.86 , -   
21,"Processed-D_1Ph_C35_mf_(2015-02-15,42days).csv",12097,4799,618, 39.67 , 5.11 
22,"Processed-D_1Ph_C40_mf_(2015-02-15,42days).csv",12097,6506,47, 53.78 , 0.39 
23,"Processed-D_1Ph_C42_mf_(2015-02-15,42days).csv",12097,4932,315, 40.77 , 2.60 
24,"Processed-D_1Ph_D01_mf_(2015-02-15,42days).csv",12097,0,3222, -   , 26.63 
25,"Processed-D_1Ph_D05_mf_(2015-02-15,42days).csv",12097,0,1504, -   , 12.43 
26,"Processed-D_1Ph_D08_mf_(2015-02-15,42days).csv",12097,11,149, 0.09 , 1.23 
27,"Processed-D_1Ph_D10_mf_(2015-02-15,42days).csv",12097,1,2057, 0.01 , 17.00 
28,"Processed-D_1Ph_D15_mf_(2015-02-15,42days).csv",12097,5,507, 0.04 , 4.19 
29,"Processed-D_1Ph_D16_mf_(2015-02-15,42days).csv",12097,0,1784, -   , 14.75 
30,"Processed-D_1Ph_D20a_mf_(2015-02-15,42days).csv",12097,0,26, -   , 0.21 
31,"Processed-D_1Ph_D25b_mf_(2015-02-15,42days).csv",12097,1,0, 0.01 , -   
32,"Processed-D_1Ph_F20_mf_(2015-02-15,42days).csv",12097,0,9645, -   , 79.73 
33,"Processed-D_1Ph_F27_mf_(2015-02-15,42days).csv",12097,0,401, -   , 3.31 
